   0.0000000e+00   1.0000000e+02   2.0000000e+02   3.0000000e+02   4.0000000e+02   5.0000000e+02   6.0000000e+02   7.0000000e+02   8.0000000e+02   9.0000000e+02   1.0000000e+03
   0.0000000e+00   4.4482200e+02   8.8964400e+02   1.3344660e+03   1.7792880e+03   2.2241100e+03   2.6689320e+03   3.1137540e+03   3.5585760e+03   4.0033980e+03   4.4482200e+03
   0.0000000e+00   0.0000000e+00
   1.0000000e+02   4.4482200e+02
   2.0000000e+02   8.8964400e+02
   3.0000000e+02   1.3344660e+03
   4.0000000e+02   1.7792880e+03
   5.0000000e+02   2.2241100e+03
   6.0000000e+02   2.6689320e+03
   7.0000000e+02   3.1137540e+03
   8.0000000e+02   3.5585760e+03
   9.0000000e+02   4.0033980e+03
   1.0000000e+03   4.4482200e+03
